id,max_diff_first,mean_diff_first,mean_diff_prev,severity_bucket,onset_bucket,motion_soft_target
TRAIN_0041,1.307861328125,1.276492953300476,0.011260679922997952,0,3,0.031128590614845356
TRAIN_0042,2.18701171875,2.144120454788208,0.012583448551595211,1,1,0.03715171416724722
TRAIN_0043,2.072998046875,2.0247015953063965,0.014708859845995903,1,1,0.03690655460208655
TRAIN_0044,3.164306640625,3.0318925380706787,0.04949277639389038,1,0,0.7463489229679108
TRAIN_0045,1.595458984375,1.56171452999115,0.011922064237296581,0,3,0.03315229838714004
TRAIN_0046,1.0048828125,0.9815155267715454,0.008115430362522602,0,3,0.028425338699171944
TRAIN_0047,21.6455078125,18.00389289855957,0.32956942915916443,3,2,0.95
TRAIN_0048,2.7861328125,2.742459297180176,0.01954513043165207,1,0,0.04267039371530215
TRAIN_0049,1.991943359375,1.9564099311828613,0.012936186976730824,0,3,0.03596607546384136
TRAIN_0050,4.679443359375,4.1759185791015625,0.08173893392086029,1,2,0.7984663992524147
TRAIN_0051,16.45068359375,15.353450775146484,0.25914669036865234,3,0,0.95
TRAIN_0052,5.009765625,4.639770984649658,0.09509726613759995,2,2,0.8142585159838199
TRAIN_0053,1.2568359375,1.2257369756698608,0.011810200288891792,0,3,0.03092514699449142
TRAIN_0054,4.533935546875,4.270769119262695,0.06841979920864105,1,0,0.7863056026101113
TRAIN_0055,1.81005859375,1.7802759408950806,0.012569568119943142,0,3,0.034698280087361734
TRAIN_0056,1.2587890625,1.2276338338851929,0.010539690032601357,0,3,0.030641389913856985
TRAIN_0057,17.021240234375,15.06017780303955,0.279312402009964,3,0,0.95
TRAIN_0058,2.012939453125,1.9764032363891602,0.01289699412882328,1,1,0.03609340507537127
TRAIN_0059,2.191650390625,2.138458728790283,0.017363378778100014,1,1,0.03829718258728584
TRAIN_0060,5.87255859375,5.166694164276123,0.16213305294513702,2,2,0.8780080296397209
TRAIN_0061,2.6181640625,2.566990852355957,0.01984397880733013,1,0,0.04164832812796036
TRAIN_0062,1.3896484375,1.32666015625,0.014946469105780125,0,3,0.03252022430176536
TRAIN_0063,1.758056640625,1.7108664512634277,0.012125378474593163,0,3,0.034256623141467574
TRAIN_0064,1.967529296875,1.9329355955123901,0.012728789821267128,0,3,0.03575899138798316
TRAIN_0065,5.054443359375,4.884889125823975,0.06145729869604111,2,2,0.7915817545950413
TRAIN_0066,27.046142578125,25.000383377075195,0.44356513023376465,3,0,0.95
TRAIN_0067,3.013427734375,2.8732762336730957,0.02914336882531643,1,1,0.729162198998034
TRAIN_0068,5.872802734375,5.0389018058776855,0.16463732719421387,2,2,0.8797657823562622
TRAIN_0069,1.7451171875,1.7156063318252563,0.011997184716165066,0,3,0.034142604819188516
TRAIN_0070,10.85546875,10.090215682983398,0.1616913080215454,3,1,0.95
TRAIN_0071,1.2900390625,1.2655147314071655,0.010677682235836983,0,3,0.030876713094611964
TRAIN_0072,4.1669921875,4.006372928619385,0.05570897087454796,1,0,0.7702526272684336
TRAIN_0073,10.80712890625,10.255230903625488,0.17125117778778076,3,1,0.95
TRAIN_0074,5.731201171875,5.146543025970459,0.11713360995054245,2,2,0.8437519498169422
TRAIN_0075,1.604736328125,1.5686802864074707,0.011883688159286976,0,3,0.03320364670331279
TRAIN_0076,2.491943359375,2.4370436668395996,0.01764099672436714,1,1,0.040313864404956504
TRAIN_0077,12.572998046875,11.42496109008789,0.20228397846221924,3,1,0.95
TRAIN_0078,1.657958984375,1.6267359256744385,0.012775331735610962,0,3,0.03375764413674673
TRAIN_0079,15.1611328125,14.455979347229004,0.3179111182689667,3,0,0.95
TRAIN_0080,1.78662109375,1.7330636978149414,0.01169752050191164,0,3,0.03434245855982105
TRAIN_0081,10.104248046875,9.541960716247559,0.12716786563396454,3,0,0.9360503428578377
TRAIN_0082,2.85205078125,2.810786008834839,0.024397732689976692,1,0,0.04423113437245289
TRAIN_0083,2.627197265625,2.586151361465454,0.01916463114321232,1,0,0.041548529493312045
TRAIN_0084,1.27001953125,1.23882257938385,0.011724465526640415,0,3,0.030990835576007767
TRAIN_0085,1.9912109375,1.9591737985610962,0.012745937332510948,0,3,0.03591692313800256
TRAIN_0086,2.1259765625,2.084988594055176,0.0145659688860178,1,1,0.03721757372965415
TRAIN_0087,4.97802734375,4.518465518951416,0.11989754438400269,1,1,0.8309998142719269
TRAIN_0088,12.627685546875,12.198385238647461,0.16305245459079742,3,0,0.95
TRAIN_0089,8.849609375,8.369921684265137,0.12731321156024933,2,1,0.9116866309046745
TRAIN_0090,1.59716796875,1.568265438079834,0.01187225617468357,0,3,0.033151784904301165
TRAIN_0091,2.164306640625,2.1260263919830322,0.012730423361063004,1,1,0.03703842528164387
TRAIN_0092,1.226318359375,1.1959232091903687,0.011655877344310284,0,3,0.0306907740496099
TRAIN_0093,26.261474609375,23.66717529296875,0.43843409419059753,3,0,0.95
TRAIN_0094,1.03076171875,1.0071029663085938,0.008083585649728775,0,3,0.028586121156811715
TRAIN_0095,9.5556640625,8.686301231384277,0.12451416999101639,2,2,0.9234953682124615
TRAIN_0096,1.94775390625,1.915795922279358,0.012521392665803432,0,3,0.03558205867931247
TRAIN_0097,3.010498046875,2.5366275310516357,0.05305853486061096,1,1,0.7458456863164902
TRAIN_0098,1.267578125,1.2356185913085938,0.01214742474257946,0,3,0.031073656919101876
TRAIN_0099,0.981201171875,0.9566050171852112,0.008636372163891792,0,3,0.028392961122095585
TRAIN_0100,3.478515625,3.2429583072662354,0.06131849065423012,1,1,0.7607539981454611
TRAIN_0101,13.148193359375,11.908659934997559,0.19076445698738098,3,1,0.95
TRAIN_0102,1.016357421875,0.9932947158813477,0.008037860505282879,0,3,0.028481824026753505
TRAIN_0103,5.4990234375,5.035966873168945,0.14217884838581085,2,2,0.8567561509013176
TRAIN_0104,2.668212890625,2.630336046218872,0.018590614199638367,1,0,0.04168119376897812
TRAIN_0105,9.510009765625,8.834468841552734,0.11923126131296158,2,0,0.9189070733487605
TRAIN_0106,12.604736328125,12.097403526306152,0.16676928102970123,3,0,0.95
TRAIN_0107,3.221923828125,3.051379680633545,0.03309207782149315,1,1,0.7359919691234827
TRAIN_0108,4.079833984375,3.7088921070098877,0.07365616410970688,1,1,0.7811160775721073
TRAIN_0109,1.315673828125,1.2883758544921875,0.010871198028326035,0,3,0.031088492756088576
TRAIN_0110,4.362060546875,3.9894790649414062,0.07646827399730682,1,1,0.7885879724621773
TRAIN_0111,5.067626953125,4.580348491668701,0.07001038640737534,2,2,0.7978259960711003
TRAIN_0112,8.429443359375,7.417201042175293,0.10163190215826035,2,2,0.8855164770185948
TRAIN_0113,5.484619140625,5.050118923187256,0.13294069468975067,2,2,0.850008559525013
TRAIN_0114,5.731689453125,5.354536056518555,0.15628348290920258,2,2,0.8711663823723793
TRAIN_0115,2.787109375,2.7472100257873535,0.020520877093076706,1,0,0.04290441559255123
TRAIN_0116,2.754638671875,2.712580442428589,0.020239992067217827,1,0,0.04262781618287166
TRAIN_0117,2.67138671875,2.627821207046509,0.019847244024276733,1,0,0.041995037277539574
TRAIN_0118,4.258544921875,3.7933597564697266,0.0772913321852684,1,1,0.7871455585062505
TRAIN_0119,12.529052734375,11.734651565551758,0.19694390892982483,3,1,0.95
TRAIN_0120,2.435791015625,2.3894541263580322,0.01839873194694519,1,1,0.04012567905584971
TRAIN_0121,4.36083984375,3.9650070667266846,0.10150126367807388,1,2,0.8060872615277768
TRAIN_0122,1.72998046875,1.6963461637496948,0.011854292824864388,0,3,0.034010874706010025
TRAIN_0123,27.050048828125,23.680627822875977,0.5070433616638184,3,0,0.95
TRAIN_0124,1.76953125,1.7401013374328613,0.01198412012308836,0,3,0.03429824782038728
TRAIN_0125,1.466552734375,1.4060181379318237,0.014815825037658215,0,3,0.032989618615557756
TRAIN_0126,9.5146484375,8.812365531921387,0.16887181997299194,2,1,0.95
TRAIN_0127,7.20849609375,6.533142566680908,0.11980119347572327,2,2,0.8744265092611313
TRAIN_0128,2.5849609375,2.5191686153411865,0.01981213502585888,1,0,0.04142507759978374
TRAIN_0129,5.340087890625,4.663913249969482,0.08665032684803009,2,2,0.8147869426608085
TRAIN_0130,20.875732421875,17.084598541259766,0.3026747703552246,3,2,0.95
TRAIN_0131,10.471435546875,9.81598949432373,0.13444963097572327,3,1,0.9483077348470688
TRAIN_0132,7.604736328125,6.18458890914917,0.19627925753593445,2,2,0.9356878386735916
TRAIN_0133,2.753173828125,2.712357521057129,0.01972966454923153,1,0,0.0424992182776332
TRAIN_0134,5.07421875,4.720097064971924,0.11887117475271225,2,2,0.8321570879518986
TRAIN_0135,5.16455078125,4.74210262298584,0.07511692494153976,2,1,0.8032905876934529
TRAIN_0136,1.743896484375,1.7152798175811768,0.012151507660746574,0,3,0.03417067893594503
TRAIN_0137,0.99853515625,0.9739104509353638,0.007906400598585606,0,3,0.028335305321961643
TRAIN_0138,1.779296875,1.7465347051620483,0.014424709603190422,0,3,0.034931195261577765
TRAIN_0139,1.822509765625,1.7728365659713745,0.011949009262025356,0,3,0.034634415637701754
TRAIN_0140,1.7890625,1.7514305114746094,0.012251939624547958,0,3,0.03448769216239452
TRAIN_0141,2.487548828125,2.4379825592041016,0.018562035635113716,1,1,0.04050020903100571
TRAIN_0142,2.384521484375,2.3318631649017334,0.01755526289343834,1,1,0.039595617656906446
TRAIN_0143,17.473876953125,16.491012573242188,0.2898504436016083,3,0,0.95
TRAIN_0144,1.8369140625,1.805970311164856,0.012358088046312332,0,3,0.034823495283722875
TRAIN_0145,2.44921875,2.299180746078491,0.046104200184345245,1,2,0.7300327057540417
TRAIN_0146,3.5361328125,3.184318780899048,0.0663139820098877,1,0,0.7653743772506714
TRAIN_0147,3.867919921875,3.483062744140625,0.06919468194246292,1,0,0.7738607158362866
TRAIN_0148,1.21044921875,1.1740037202835083,0.011810200288891792,0,3,0.03062363332261642
TRAIN_0149,4.952392578125,4.478011131286621,0.10650818794965744,1,2,0.8211273868381977
TRAIN_0150,2.21923828125,2.1772453784942627,0.017204158008098602,1,1,0.03843935236334801
TRAIN_0151,3.942626953125,3.828291654586792,0.05096496641635895,1,0,0.7625567020773888
TRAIN_0152,1.325927734375,1.300729751586914,0.010870382189750671,0,3,0.031154952784379325
TRAIN_0153,6.069580078125,5.345758438110352,0.13966068625450134,2,2,0.8661192919015884
TRAIN_0154,2.453369140625,2.4030566215515137,0.017789604142308235,1,1,0.04009780704726776
TRAIN_0155,4.385986328125,4.015448570251465,0.09122857451438904,1,2,0.7993867355585098
TRAIN_0156,1.055419921875,1.02932870388031,0.008714758791029453,0,3,0.028893673210094374
TRAIN_0157,2.27490234375,2.228851318359375,0.0176034364849329,1,1,0.038894333747526016
TRAIN_0158,2.9892578125,2.8452646732330322,0.028041061013936996,1,1,0.727919270053506
TRAIN_0159,1.607421875,1.5763695240020752,0.01280880905687809,0,3,0.03343696430077155
TRAIN_0160,5.683349609375,4.978969573974609,0.16183747351169586,2,2,0.8741115488409996
TRAIN_0161,11.733154296875,11.176128387451172,0.22568799555301666,3,1,0.95
TRAIN_0162,3.595458984375,3.0771656036376953,0.053703587502241135,1,2,0.7577039614468813
TRAIN_0163,17.87353515625,16.854007720947266,0.29879626631736755,3,0,0.95
TRAIN_0164,5.437744140625,5.169679164886475,0.058902397751808167,2,2,0.7972676891684533
TRAIN_0165,3.274169921875,3.1103034019470215,0.05841166526079178,1,0,0.7547344791591167
TRAIN_0166,12.061767578125,11.277756690979004,0.16725918650627136,3,1,0.95
TRAIN_0167,1.453857421875,1.3893781900405884,0.014700694940984249,0,3,0.03288023539508383
TRAIN_0168,11.339111328125,10.391592979431152,0.22728103399276733,3,0,0.95
TRAIN_0169,2.388916015625,2.3414204120635986,0.01729397475719452,1,1,0.03956321487824122
TRAIN_0170,1.783935546875,1.7486176490783691,0.012149874120950699,0,3,0.03443055168290933
TRAIN_0171,2.615966796875,2.5438082218170166,0.02045637182891369,1,0,0.04177693760643403
TRAIN_0172,2.053466796875,2.0196356773376465,0.013454679399728775,1,1,0.03648695937295755
TRAIN_0173,1.4189453125,1.359407663345337,0.014664768241345882,0,3,0.03264492378756404
TRAIN_0174,1.85546875,1.7723270654678345,0.01394867617636919,0,3,0.6959457139484585
TRAIN_0175,8.011962890625,7.589548110961914,0.10633018612861633,2,1,0.8806644066572189
TRAIN_0176,2.3193359375,2.2645325660705566,0.017127403989434242,1,1,0.039072077857951325
TRAIN_0177,0.991943359375,0.9667829871177673,0.008655969053506851,0,3,0.028467357948422433
TRAIN_0178,1.265869140625,1.2288683652877808,0.011675474233925343,0,3,0.030952426735311747
TRAIN_0179,5.520751953125,4.848550319671631,0.09975879639387131,2,2,0.8274858205616474
TRAIN_0180,16.555419921875,15.793517112731934,0.2898430824279785,3,0,0.95
TRAIN_0181,2.350341796875,2.300039768218994,0.018328510224819183,1,1,0.039553874065478646
TRAIN_0182,17.721923828125,15.561023712158203,0.25047847628593445,3,0,0.95
TRAIN_0183,2.314208984375,2.267763376235962,0.017633648589253426,1,1,0.03915687640259663
TRAIN_0184,1.619384765625,1.5867393016815186,0.01265285350382328,0,3,0.033478333460787935
TRAIN_0185,4.911865234375,4.376108169555664,0.11323470622301102,1,1,0.8250456664264203
TRAIN_0186,1.28173828125,1.245624303817749,0.01182244811207056,0,3,0.0310898700542748
TRAIN_0187,1.01953125,0.9922422170639038,0.008762933313846588,0,3,0.02867163756489754
TRAIN_0188,1.11181640625,1.0836561918258667,0.007884354330599308,0,3,0.029066489317764836
TRAIN_0189,5.4140625,4.945650577545166,0.12568098306655884,2,2,0.8435509068965912
TRAIN_0190,5.037353515625,4.470223903656006,0.10702095925807953,2,2,0.8231430650353432
TRAIN_0191,6.86279296875,5.501195430755615,0.16486921906471252,2,2,0.8992329162359238
TRAIN_0192,4.096923828125,3.7599542140960693,0.07072973996400833,1,2,0.7794008326232433
TRAIN_0193,10.171142578125,9.571115493774414,0.14021429419517517,3,1,0.9464872862100602
TRAIN_0194,1.626953125,1.5959824323654175,0.012650404125452042,0,3,0.03352695627510548
TRAIN_0195,1.8212890625,1.7874425649642944,0.012336858548223972,0,3,0.03471697923416893
TRAIN_0196,1.361572265625,1.3343297243118286,0.01101898867636919,0,3,0.03142131708438198
TRAIN_0197,2.65771484375,2.588456392288208,0.0204825010150671,1,0,0.04205439672122399
TRAIN_0198,2.781005859375,2.705254554748535,0.02111203968524933,1,0,0.043002680679162346
TRAIN_0199,16.62548828125,15.331526756286621,0.28004807233810425,3,0,0.95
TRAIN_0200,1.962646484375,1.9229650497436523,0.013030903413891792,0,3,0.03579774627834559
TRAIN_0201,1.286376953125,1.2542492151260376,0.010831188410520554,0,3,0.03088872749110063
TRAIN_0202,11.8798828125,11.137603759765625,0.1753125637769699,3,1,0.95
TRAIN_0203,10.074951171875,9.704023361206055,0.11739081144332886,3,0,0.9286351158618927
TRAIN_0204,14.37158203125,13.748066902160645,0.19196312129497528,3,0,0.95
TRAIN_0205,2.6552734375,2.4311506748199463,0.03332152217626572,1,1,0.725102897554636
TRAIN_0206,5.261474609375,4.960771083831787,0.07347407937049866,2,2,0.8040306104421616
TRAIN_0207,2.73583984375,2.676513671875,0.02074052207171917,1,0,0.04262241413444281
TRAIN_0208,4.896240234375,4.438622951507568,0.1170731857419014,1,1,0.8274279145896435
TRAIN_0209,1.833251953125,1.7975420951843262,0.01324728224426508,0,3,0.03500717021897435
TRAIN_0210,9.101318359375,7.916665554046631,0.11714503914117813,2,2,0.9094772354066372
TRAIN_0211,2.804931640625,2.738177537918091,0.021243499591946602,1,0,0.043188872235516707
TRAIN_0212,2.038818359375,1.9871290922164917,0.014433691278100014,1,2,0.03662018063416084
TRAIN_0213,5.510498046875,5.022624969482422,0.12762512266635895,2,2,0.8467922977805138
TRAIN_0214,6.1845703125,5.5597100257873535,0.17250536382198334,2,2,0.8913528757691384
TRAIN_0215,4.14404296875,3.7412002086639404,0.052032165229320526,1,0,0.7672313535511494
TRAIN_0216,2.470947265625,2.420778512954712,0.01839628256857395,1,1,0.04035362315922976
TRAIN_0217,12.827392578125,12.213119506835938,0.24766719341278076,3,1,0.95
TRAIN_0218,2.208251953125,2.161956787109375,0.017630383372306824,1,1,0.03846739381551743
TRAIN_0219,6.7197265625,5.690126895904541,0.13772551715373993,2,2,0.877442529976368
TRAIN_0220,6.162109375,5.83396577835083,0.11304201185703278,2,2,0.849290541112423
TRAIN_0221,1.379638671875,1.3183634281158447,0.014989744871854782,0,3,0.03246525850395362
TRAIN_0222,6.997314453125,5.791618347167969,0.16847988963127136,2,2,0.9043835545778274
TRAIN_0223,2.69091796875,2.505094289779663,0.03691422566771507,1,1,0.7283128583580256
TRAIN_0224,2.389404296875,2.350092649459839,0.018814342096447945,1,1,0.03992114108552536
TRAIN_0225,5.555419921875,5.110800743103027,0.15107731521129608,2,2,0.8640848091244697
TRAIN_0226,1.16015625,1.1287575960159302,0.008006015792489052,0,3,0.02940908597658078
TRAIN_0227,15.762451171875,14.548511505126953,0.25321629643440247,3,0,0.95
TRAIN_0228,2.4404296875,2.395582914352417,0.018079470843076706,1,1,0.0400813361654679
TRAIN_0229,17.19970703125,14.406286239624023,0.22857114672660828,3,2,0.95
TRAIN_0230,8.96923828125,8.438737869262695,0.1358083188533783,2,1,0.9199659696817399
TRAIN_0231,2.67578125,2.599067211151123,0.02025469020009041,1,0,0.0421186725050211
TRAIN_0232,5.329833984375,4.842298984527588,0.1420237123966217,2,2,0.8533483613729478
TRAIN_0233,5.320556640625,5.055932521820068,0.07843037694692612,2,1,0.8086521183550358
TRAIN_0234,11.880859375,11.278544425964355,0.16912250220775604,3,0,0.95
TRAIN_0235,1.661865234375,1.6355396509170532,0.012740220874547958,0,3,0.03377484222749869
TRAIN_0236,2.163330078125,2.123322010040283,0.013085611164569855,1,1,0.03711495477954547
TRAIN_0237,1.323486328125,1.295581579208374,0.010983061976730824,0,3,0.031165375594049693
TRAIN_0238,6.899658203125,5.787590980529785,0.1514153629541397,2,2,0.8905340890288354
TRAIN_0239,2.19189453125,2.146850109100342,0.012697761878371239,1,1,0.03721012555807829
TRAIN_0240,2.868408203125,2.82601261138916,0.023887405171990395,1,0,0.044218381193776926
TRAIN_0241,1.22216796875,1.1940313577651978,0.010272686369717121,0,3,0.030341051949808996
TRAIN_0242,2.732421875,2.6952128410339355,0.019535332918167114,1,0,0.04231898653507233
TRAIN_0243,4.550048828125,4.354889869689941,0.05789888650178909,1,0,0.7792551726996899
TRAIN_0244,5.090087890625,4.531975746154785,0.0827922523021698,2,2,0.8072112904787063
TRAIN_0245,2.518310546875,2.463242530822754,0.018455887213349342,1,1,0.04067539223780235
TRAIN_0246,3.022216796875,2.9807896614074707,0.02483947202563286,1,0,0.0454402859856685
TRAIN_0247,1.81396484375,1.7824723720550537,0.012327060103416443,0,3,0.0346670855085055
TRAIN_0248,1.25146484375,1.2262979745864868,0.01023267675191164,0,3,0.03052214605982105
TRAIN_0249,2.46484375,2.410236358642578,0.017742246389389038,1,1,0.040161341865857444
TRAIN_0250,2.766845703125,2.7232842445373535,0.020284902304410934,1,0,0.04271764094134172
TRAIN_0251,1.242431640625,1.2151001691818237,0.01062134187668562,0,3,0.030554118768622476
TRAIN_0252,4.072998046875,3.658479928970337,0.07479847967624664,1,1,0.7817823976874352
TRAIN_0253,7.889404296875,6.351616382598877,0.1957281082868576,2,1,0.9408530595898628
TRAIN_0254,4.974609375,4.32011079788208,0.10966486483812332,1,2,0.8237702881991864
TRAIN_0255,1.745849609375,1.714379906654358,0.011713034473359585,0,3,0.03408106383805474
TRAIN_0256,1.00439453125,0.9776394963264465,0.008674749173223972,0,3,0.028552672593543927
TRAIN_0257,5.2607421875,5.040757656097412,0.07548844814300537,2,1,0.8054263863563538
TRAIN_0258,5.8203125,5.3175740242004395,0.15158683061599731,2,2,0.8696068751811982
TRAIN_0259,4.171142578125,3.449678421020508,0.07644949108362198,1,2,0.7848519240319729
TRAIN_0260,1.29345703125,1.2661875486373901,0.010504579171538353,0,3,0.03085853917648395
TRAIN_0261,21.317138671875,19.652849197387695,0.3437148928642273,3,0,0.95
TRAIN_0262,1.2958984375,1.2666701078414917,0.011342332698404789,0,3,0.03106988414004445
TRAIN_0263,2.4365234375,2.3910601139068604,0.018149692565202713,1,1,0.040072330608963966
TRAIN_0264,1.956298828125,1.9091813564300537,0.014113614335656166,0,3,0.03600911906113227
TRAIN_0265,1.136474609375,1.1073524951934814,0.008032144978642464,0,3,0.02926125212262074
TRAIN_0266,6.84228515625,6.33172607421875,0.16301490366458893,2,2,0.8975349931120873
TRAIN_0267,3.464111328125,3.0584843158721924,0.057726603001356125,1,2,0.7579587929993868
TRAIN_0268,1.99755859375,1.9570116996765137,0.012701028026640415,0,3,0.0359477040655911
TRAIN_0269,3.525390625,3.3730320930480957,0.04463609308004379,1,0,0.7499903823435307
TRAIN_0270,1.625,1.5961840152740479,0.012994159944355488,0,3,0.03359447065368295
TRAIN_0271,4.29931640625,4.123708248138428,0.054151859134435654,1,0,0.77174297131598
TRAIN_0272,2.397705078125,2.3552768230438232,0.01789575256407261,1,1,0.03976075860609611
TRAIN_0273,7.62548828125,6.098540782928467,0.2041652500629425,2,2,0.9416126965284348
TRAIN_0274,1.382568359375,1.3188402652740479,0.015007708221673965,0,3,0.03248849292099476
TRAIN_0275,19.1689453125,16.26346206665039,0.2518281936645508,3,0,0.95
TRAIN_0276,1.23046875,1.1992473602294922,0.011294974014163017,0,3,0.03063354081163804
TRAIN_0277,2.298095703125,2.248847007751465,0.018159490078687668,1,1,0.039174836422006296
TRAIN_0278,25.01806640625,22.73993492126465,0.4311343729496002,3,0,0.95
TRAIN_0279,1.846923828125,1.7947046756744385,0.01175141055136919,0,3,0.03474700067813198
TRAIN_0280,5.729248046875,5.112734794616699,0.15264178812503815,2,2,0.8685695886015892
TRAIN_0281,10.412353515625,9.661415100097656,0.14823909103870392,3,2,0.95
TRAIN_0282,9.046630859375,8.329169273376465,0.1192198246717453,2,2,0.9098631790280343
TRAIN_0283,2.457763671875,2.4035449028015137,0.01891477406024933,1,1,0.04038891114791235
TRAIN_0284,1.292236328125,1.260728359222412,0.011575042270123959,0,3,0.031100379329174758
TRAIN_0285,1.94189453125,1.9090776443481445,0.012725523672997952,0,3,0.03559160331015786
TRAIN_0286,4.910400390625,4.706201076507568,0.06827853620052338,1,0,0.7935477829575539
TRAIN_0287,1.65625,1.6273735761642456,0.012686330825090408,0,3,0.033725768859187766
TRAIN_0288,1.28466796875,1.2586077451705933,0.010948767885565758,0,3,0.030905054303507012
TRAIN_0289,1.126953125,1.1013926267623901,0.007970089092850685,0,3,0.029184882767498494
TRAIN_0290,7.45263671875,6.230961322784424,0.17825940251350403,2,2,0.9201079977750779
TRAIN_0291,6.165771484375,5.7339959144592285,0.1613353043794632,2,2,0.8831672570109368
TRAIN_0292,1.709716796875,1.6312415599822998,0.014097283594310284,0,3,0.6932075760550798
TRAIN_0293,4.42431640625,4.20896053314209,0.05943313613533974,1,0,0.7778773652166129
TRAIN_0294,2.46923828125,2.423351287841797,0.018337491899728775,1,1,0.04032879693806171
TRAIN_0295,1.161865234375,1.1358352899551392,0.008076237514615059,0,3,0.029436579443514348
TRAIN_0296,2.3173828125,2.2741682529449463,0.017498105764389038,1,1,0.03914587962627411
TRAIN_0297,3.205810546875,2.894357442855835,0.05038360133767128,1,0,0.7477818266004325
TRAIN_0298,1.375244140625,1.3449527025222778,0.011575042270123959,0,3,0.031639930110424756
TRAIN_0299,1.488037109375,1.432544469833374,0.01428345125168562,0,3,0.03300504650299748
TRAIN_0300,1.7919921875,1.7434743642807007,0.011739162728190422,0,3,0.0343870871886611
TRAIN_0301,2.366455078125,2.322463274002075,0.01780511811375618,1,1,0.03953648556768895
TRAIN_0302,1.34765625,1.3189480304718018,0.011419902555644512,0,3,0.03142440955465039
TRAIN_0303,7.5380859375,7.080963134765625,0.11162778735160828,2,1,0.8751321269273759
TRAIN_0304,1.616455078125,1.5871590375900269,0.012684697285294533,0,3,0.03346672070771456
